X,CH1,
Second,Volt,
2.3385100e-03,1.12000e+01,
2.3385200e-03,1.10800e+01,
2.3385300e-03,1.10200e+01,
2.3385400e-03,1.10400e+01,
2.3385501e-03,1.12000e+01,
2.3385601e-03,1.14000e+01,
2.3385701e-03,1.16000e+01,
2.3385801e-03,1.17600e+01,
2.3385901e-03,1.19000e+01,
2.3386001e-03,1.20000e+01,
2.3386099e-03,1.20600e+01,
2.3386199e-03,1.20200e+01,
2.3386299e-03,1.19000e+01,
2.3386399e-03,1.17000e+01,
2.3386499e-03,1.15000e+01,
2.3386599e-03,1.13200e+01,
2.3386700e-03,1.12000e+01,
2.3386800e-03,1.11000e+01,
2.3386900e-03,1.10800e+01,
2.3387000e-03,1.11400e+01,
2.3387100e-03,1.12800e+01,
2.3387200e-03,1.14800e+01,
2.3387300e-03,1.16600e+01,
2.3387400e-03,1.17800e+01,
2.3387501e-03,1.19000e+01,
2.3387601e-03,1.20000e+01,
2.3387701e-03,1.20400e+01,
2.3387801e-03,1.19800e+01,
2.3387901e-03,1.18400e+01,
2.3388001e-03,1.16600e+01,
2.3388099e-03,1.14800e+01,
2.3388199e-03,1.13200e+01,
2.3388299e-03,1.12000e+01,
2.3388399e-03,1.10800e+01,
2.3388499e-03,1.10800e+01,
2.3388600e-03,1.11800e+01,
2.3388700e-03,1.13400e+01,
2.3388800e-03,1.15000e+01,
2.3388900e-03,1.16600e+01,
2.3389000e-03,1.18000e+01,
2.3389100e-03,1.19200e+01,
2.3389200e-03,1.20400e+01,
2.3389300e-03,1.20200e+01,
2.3389400e-03,1.19200e+01,
2.3389501e-03,1.17600e+01,
2.3389601e-03,1.16000e+01,
2.3389701e-03,1.14200e+01,
2.3389801e-03,1.12800e+01,
2.3389901e-03,1.11800e+01,
2.3390001e-03,1.11000e+01,
2.3390099e-03,1.11200e+01,
2.3390199e-03,1.12400e+01,
2.3390299e-03,1.14000e+01,
2.3390399e-03,1.15200e+01,
2.3390499e-03,1.16800e+01,
2.3390600e-03,1.18200e+01,
2.3390700e-03,1.19600e+01,
2.3390800e-03,1.20200e+01,
2.3390900e-03,1.20000e+01,
2.3391000e-03,1.19200e+01,
2.3391100e-03,1.18600e+01,
2.3391200e-03,1.14600e+01,
2.3391300e-03,1.14000e+01,
2.3391400e-03,1.13000e+01,
2.3391501e-03,1.11200e+01,
2.3391601e-03,1.10800e+01,
2.3391701e-03,1.11600e+01,
2.3391801e-03,1.11600e+01,
2.3391901e-03,1.14000e+01,
2.3391999e-03,1.15600e+01,
2.3392099e-03,1.16800e+01,
2.3392199e-03,1.18600e+01,
2.3392299e-03,1.20000e+01,
2.3392399e-03,1.20600e+01,
2.3392499e-03,1.19800e+01,
2.3392600e-03,1.18800e+01,
2.3392700e-03,1.17200e+01,
2.3392800e-03,1.15200e+01,
2.3392900e-03,1.13600e+01,
2.3393000e-03,1.11800e+01,
2.3393100e-03,1.10600e+01,
2.3393200e-03,1.10600e+01,
2.3393300e-03,1.11600e+01,
2.3393400e-03,1.12800e+01,
2.3393501e-03,1.14400e+01,
2.3393601e-03,1.16000e+01,
2.3393701e-03,1.17400e+01,
2.3393801e-03,1.19400e+01,
2.3393901e-03,1.20600e+01,
2.3393999e-03,1.20600e+01,
2.3394099e-03,1.19800e+01,
2.3394199e-03,1.18400e+01,
2.3394299e-03,1.17000e+01,
2.3394399e-03,1.14800e+01,
2.3394499e-03,1.13200e+01,
2.3394600e-03,1.11200e+01,
2.3394700e-03,1.10400e+01,
2.3394800e-03,1.10800e+01,
2.3394900e-03,1.11800e+01,
2.3395000e-03,1.12800e+01,
2.3395100e-03,1.14800e+01,
2.3395200e-03,1.16200e+01,
2.3395300e-03,1.18200e+01,
2.3395400e-03,1.20000e+01,
2.3395501e-03,1.20800e+01,
2.3395601e-03,1.20600e+01,
2.3395701e-03,1.19800e+01,
2.3395801e-03,1.18200e+01,
2.3395901e-03,1.16400e+01,
2.3395999e-03,1.14200e+01,
2.3396099e-03,1.12000e+01,
2.3396199e-03,1.10400e+01,
2.3396299e-03,1.10000e+01,
2.3396399e-03,1.10400e+01,
2.3396499e-03,1.11800e+01,
2.3396600e-03,1.13400e+01,
2.3396700e-03,1.15200e+01,
2.3396800e-03,1.17400e+01,
2.3396900e-03,1.19600e+01,
2.3397000e-03,1.21000e+01,
2.3397100e-03,1.21400e+01,
2.3397200e-03,1.20600e+01,
2.3397300e-03,1.19400e+01,
2.3397401e-03,1.17600e+01,
2.3397501e-03,1.15200e+01,
2.3397601e-03,1.13200e+01,
2.3397701e-03,1.10800e+01,
2.3397801e-03,1.09800e+01,
2.3397901e-03,1.10000e+01,
2.3397999e-03,1.11000e+01,
2.3398099e-03,1.12400e+01,
2.3398199e-03,1.14200e+01,
2.3398299e-03,1.16000e+01,
